counter	timestamp	deadtime	ch1_height	ch2_height	Delta_T
187	1719999648.7576253	0.01712473336832583	461	1257	-20
188	1719999648.864389	0.002280455184295235	2808	2625	-19
189	1719999648.9696193	0.004086663500463623	465	395	-20
190	1719999649.0749674	0.004578387927894914	552	2582	-21
191	1719999649.1805198	0.004115105442515073	237	2992	-19
192	1719999649.2865162	0.0026153243137307905	290	338	-20
193	1719999649.391867	0.017097143264961114	534	3104	-19
194	1719999649.4987693	0.002659050843315146	3290	697	-58
195	1719999649.603897	0.0023208488453606846	2046	2654	-23
196	1719999649.7089605	0.0024142969948355826	3335	209	-28
197	1719999649.8140442	0.0022420100028138585	1680	1228	-24
198	1719999649.9197936	0.0024591346370578743	577	1308	-23
199	1719999650.0333858	0.005483298012330621	2966	799	-23
200	1719999650.1391153	0.0024846463339020714	994	543	-77
201	1719999650.2442064	0.002185437677580995	223	514	-21
202	1719999650.3493576	0.0021653806648512237	1175	212	-24
203	1719999650.4545524	0.0021441134340265816	2281	2596	-20
204	1719999650.561545	0.0024903437921832607	592	1940	-20
205	1719999650.66688	0.0021646442941470824	549	594	-17
206	1719999650.772125	0.002165688784178692	2985	2883	-20
207	1719999650.8773196	0.002189349246532964	1720	684	-16
208	1719999650.9855616	0.0034359347744315418	2385	2022	-18
209	1719999651.0925953	0.002826369942402682	339	1104	-19
210	1719999651.20251	0.003686182558137015	911	845	-19
211	1719999651.3085797	0.002619603818680206	1066	3270	-20
212	1719999651.4139924	0.002138420284443841	201	1914	-20
213	1719999651.5191834	0.002869573685986651	3022	869	-24
214	1719999651.6243646	0.0022658764450916215	558	2461	-21
215	1719999651.7295403	0.0023618370649754524	2385	2663	-19
216	1719999651.834725	0.0024070934459967906	407	905	-23
217	1719999651.9421947	0.002411349091030092	418	525	-19
218	1719999652.0479858	0.002265334965276134	1720	834	-18
219	1719999652.1531076	0.002591554660717201	801	2761	-22
220	1719999652.2583175	0.002237445820714169	3233	683	-42
221	1719999652.3635013	0.002210072490377684	3270	2503	-21
222	1719999652.4686675	0.0023280116241904663	3375	2210	-24
223	1719999652.5769517	0.0024720872076641307	740	2967	-20
224	1719999652.6823256	0.002231612396538964	3021	948	-20
225	1719999652.7875795	0.0024503975668140983	334	1786	-23
226	1719999652.892754	0.0021406041310938623	2186	489	-54
227	1719999652.9978669	0.0021683511458692457	632	1934	-20
228	1719999653.1050334	0.0024220722173415032	578	2921	-21
229	1719999653.2108848	0.002412346891428623	523	785	-18
230	1719999653.3160136	0.0022048715866455557	1159	1505	-24
231	1719999653.4210668	0.002233125604237492	1273	1685	-21
232	1719999653.5260673	0.005382574763012793	384	353	-21
233	1719999653.6314068	0.0037948771425527234	568	3108	-20
234	1719999653.7365677	0.004718177782207283	669	2307	-21
235	1719999653.8425114	0.005032485062270535	2927	591	-13
236	1719999653.9487064	0.004098821139490254	307	334	-19
237	1719999654.0540898	0.013363218648436625	348	1550	-18
238	1719999654.1607175	0.0020512565359772756	551	664	-18
239	1719999654.2658505	0.00238038562247084	481	451	-17
240	1719999654.371012	0.002387316615315554	290	576	-19
241	1719999654.4771488	0.002434849798518425	3033	2254	-19
242	1719999654.5945225	0.005188230291002612	2993	2789	-19
243	1719999654.7004445	0.002198139826995326	1126	912	-19
244	1719999654.8055763	0.003925581479586523	978	2279	-20
245	1719999654.9109228	0.002398130455576787	586	329	-18
246	1719999655.0162613	0.002247852316329187	692	666	-18
247	1719999655.133548	0.004477112586809956	531	682	-17
248	1719999655.2399802	0.0022978178591884636	385	2129	-19
249	1719999655.3452082	0.002182179097307513	3168	258	-18
250	1719999655.4503522	0.0022402205755643633	418	307	-20
251	1719999655.560132	0.0026005882799865414	2003	1923	-20
252	1719999655.6653068	0.002625296706136801	293	491	-20
253	1719999655.771094	0.0027582166236634256	2583	1035	-19
254	1719999655.8770175	0.0024945684599191743	1873	251	-25
255	1719999655.9823525	0.002365644949517816	345	2171	-18
256	1719999656.087641	0.0021855720536676842	2936	373	-19
257	1719999656.1928902	0.0022266669988923295	212	2391	-19
258	1719999656.3020148	0.00366701497128123	661	2196	22
259	1719999656.4122918	0.028164737141772634	285	1867	-19
260	1719999656.5231414	0.0042601233054323185	363	656	-20
261	1719999656.639581	0.003916943596421719	1405	600	-18
262	1719999656.7450597	0.0023510865281382927	1230	478	-19
263	1719999656.8502567	0.0022010055263145963	2698	2641	-19
264	1719999656.9560947	0.004890815959741193	2244	1285	-18
265	1719999657.061415	0.002362633621570096	348	1795	-20
266	1719999657.1739378	0.006061552618582289	3031	764	-19
267	1719999657.280467	0.002630893110699714	551	2671	-18
268	1719999657.3859246	0.002385755119762646	3208	285	-15
269	1719999657.4911168	0.002811566162427417	779	1133	-18
270	1719999657.5963783	0.002230063706393076	3439	299	-20
271	1719999657.701612	0.002215802888700085	2021	468	-18
272	1719999657.8069003	0.0045811148734884915	1364	673	-21
273	1719999657.9129517	0.0024130752176499217	473	858	-22
274	1719999658.018401	0.0021936668611567183	1578	3047	-19
275	1719999658.1242018	0.0024758162984856746	1076	309	-21
276	1719999658.2294762	0.0022720476971448762	247	2611	-18
277	1719999658.334627	0.004116744444997669	1873	2323	-22
278	1719999658.4402485	0.004795687039689611	1297	2676	-19
279	1719999658.5472677	0.002569792987657849	529	3093	-19
280	1719999658.6525257	0.0021618485844877165	677	2437	-18
281	1719999658.757744	0.002387791904162098	1355	2507	-20
282	1719999658.8630939	0.002179813074804032	577	277	-19
283	1719999658.9685915	0.00213122756899934	1727	1094	-18
284	1719999659.0738513	0.0023280145297093604	717	2184	-20
285	1719999659.1875987	0.005209062473228595	2304	201	-19
286	1719999659.294566	0.002234279528721339	2443	2006	-19
287	1719999659.399639	0.004642760937425724	1355	3272	-19
288	1719999659.5049794	0.0023751137082852225	601	702	-15
289	1719999659.610127	0.0021817027259944666	2859	1746	-19
290	1719999659.7152843	0.004366219487365111	637	1050	-23
291	1719999659.8214288	0.0055546831183398765	3058	1841	-19
292	1719999659.931715	0.013548020539648167	214	3101	-20
293	1719999660.0382369	0.012157761590354529	2275	3744	-19
294	1719999660.144417	0.0025687998512680756	3294	934	-19
295	1719999660.2495637	0.0026776159468920612	2570	722	-21
296	1719999660.354777	0.005030055997522273	1249	521	-23
297	1719999660.4609497	0.0023775697904541474	623	2593	-17
298	1719999660.5667303	0.002395854698061454	542	2415	-18
299	1719999660.6720371	0.0022530529433476064	530	3082	-18
300	1719999660.777259	0.0022070403226720145	521	2702	-20
301	1719999660.8824809	0.0021504450446857494	1073	3761	-19
302	1719999660.987739	0.0023439145411022965	2408	271	-18
303	1719999661.0946035	0.0039002289797482113	3017	2180	-19
304	1719999661.2020187	0.004081043895077892	1651	2025	-6
305	1719999661.3078227	0.0021788705999232316	2188	582	-19
306	1719999661.4131677	0.002231425532396406	2830	2958	-19
